Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Line,O/U,DK,FD
9,Russell Westbrook,26-112,G,3/4/2015,OKC,,PHI,W,1,42,16,33,0.485,15,29,0.517,1,4,0.25,16,20,0.80,3,12,15,10,3,1,4,3,49,41.9,-15,203,93.75,86.00
10,Russell Westbrook,26-086,G,2/6/2015,OKC,,NOP,L,1,40,15,28,0.536,12,23,0.522,3,5,0.60,15,15,1.00,3,6,9,11,4,0,3,4,48,45.4,-6,199,85.25,80.30
1317,DeMarcus Cousins,24-231,C,4/1/2015,SAC,@,HOU,L,1,39,11,25,0.440,11,25,0.440,0,0,,2,6,0.33,6,15,21,10,3,6,5,4,24,25.6,10.5,211.5,85.25,77.20
106,Anthony Davis,22-004,F-C,3/15/2015,NOP,,DEN,L,1,50,16,28,0.571,16,27,0.593,0,1,0.00,4,6,0.67,2,12,14,7,1,9,2,1,36,36.8,-8,209,84.50,81.30
38,Chris Paul,29-330,G,4/1/2015,LAC,@,POR,W,1,39,13,21,0.619,8,12,0.667,5,9,0.56,10,10,1.00,1,4,5,17,4,0,1,2,41,47.5,3,209,84.25,79.50
56,Russell Westbrook,26-106,G,2/26/2015,OKC,@,PHO,L,1,43,12,38,0.316,11,28,0.393,1,10,0.10,14,16,0.88,3,11,14,11,3,0,4,3,39,27.3,-5,216.5,82.00,74.30
61,Anthony Davis,21-358,F-C,3/4/2015,NOP,,DET,W,1,42,17,30,0.567,17,30,0.567,0,0,,5,7,0.71,4,9,13,2,3,8,1,1,39,38.1,-5,195.5,81.25,78.60
3,Russell Westbrook,26-151,G,4/12/2015,OKC,@,IND,L,1,40,21,43,0.488,16,28,0.571,5,15,0.33,7,11,0.64,1,8,9,8,1,0,2,5,54,36.4,3,210.5,80.75,76.80
387,Russell Westbrook,26-116,G,3/8/2015,OKC,,TOR,W,1,40,9,21,0.429,8,17,0.471,1,4,0.25,11,13,0.85,3,8,11,17,4,1,9,1,30,29.8,-6.5,213,79.75,69.70
1,Kyrie Irving,22-354,G,3/12/2015,CLE,@,SAS,W,1,47,20,32,0.625,13,25,0.520,7,7,1.00,10,10,1.00,1,2,3,5,4,0,2,3,57,48.2,-1.5,206,78.75,74.10
